edge_id,node_u,node_v,path_length_original_voxels,euclidean_length_original_voxels,tortuosity,orientation_z,orientation_y,orientation_x,path_sample_count,boundary_contact,original_skan_branch_ids,retained_after_pruning
14613,3091,3405,55.797531957505306,48.33218389437829,1.154459150437755,0.6620847108818944,-0.0827605888602368,-0.7448452997421311,11,False,26888;26889;27645,True
14614,3091,3280,39.59797974644667,39.59797974644666,1.0000000000000002,0.7071067811865476,0.7071067811865476,0.0,8,False,26889;27101,True
14615,3092,3280,46.52618297672217,45.43126676640219,1.024100499243171,0.7043607250604991,-0.08804509063256238,0.7043607250604991,9,False,26408;26409;27100,True
14616,3092,3106,39.59797974644667,39.59797974644666,1.0000000000000002,0.0,0.7071067811865476,0.7071067811865476,8,False,26406;26414,True
14617,3092,3218,46.52618297672217,45.43126676640219,1.024100499243171,-0.08804509063256238,-0.7043607250604991,-0.7043607250604991,9,False,26383;26890,True
14618,3092,3284,50.34022991907156,42.708313008125245,1.1786986273490678,0.6556100681071858,0.0936585811581694,-0.7492686492653552,9,False,26890;27122,True
14619,3092,3287,40.86932872722979,39.7994974842648,1.0268805213781396,0.7035264706814485,0.7035264706814485,-0.10050378152592121,8,False,26409;27123,True
14620,3093,6083,69.1535999746917,42.5205832509386,1.6263558655010972,-0.8466487815452375,-0.3762883473534389,-0.3762883473534389,13,False,24296;25545,True
14621,3093,3104,54.526182976722176,45.78209256903839,1.1909936815251048,-0.0873704056661038,0.7863336509949341,-0.6115928396627265,11,False,25545;25562,True
14622,3093,3100,45.254833995939045,45.254833995939045,1.0,0.0,0.7071067811865475,0.7071067811865475,9,False,25546;25964,True
14623,3093,3245,47.59797974644667,45.254833995939045,1.051776695296637,0.7071067811865475,-0.7071067811865475,0.0,10,False,25941,True
14624,3093,3285,43.59797974644667,42.5205832509386,1.025338234171195,0.7525766947068778,0.0,-0.658504607868518,9,False,25942;27115,True
14625,3093,6374,11.313708498984761,11.313708498984761,1.0,0.7071067811865475,0.0,0.7071067811865475,3,False,25949,False
14626,3093,3289,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,0.7071067811865475,0.0,9,False,25950;27126,True
14627,3094,3100,45.254833995939045,45.254833995939045,1.0,0.0,0.7071067811865475,-0.7071067811865475,9,False,25951;25965,True
14628,3094,6392,16.970562748477143,16.97056274847714,1.0000000000000002,0.7071067811865476,0.0,-0.7071067811865476,4,False,25952,True
14629,3094,3286,49.25483399593905,48.16637831516918,1.0225978310772657,0.7474093186836597,0.0,0.6643638388299198,10,False,25943;27671,True
14630,3094,3290,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,0.7071067811865475,0.0,9,False,25953;27129,True
14631,3095,6237,11.313708498984761,11.313708498984761,1.0,-0.7071067811865475,0.0,-0.7071067811865475,3,False,25464;25537,False
14632,3095,6277,5.656854249492381,5.656854249492381,1.0,0.0,-0.7071067811865475,0.7071067811865475,2,False,25539,False
14633,3095,3102,45.254833995939045,45.254833995939045,1.0,0.0,0.7071067811865475,0.7071067811865475,9,False,25549;25967,True
14634,3095,3286,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,0.0,-0.7071067811865475,9,False,26397,True
14635,3095,3282,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,0.0,0.7071067811865475,9,False,26398;27117,True
14636,3095,3291,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,0.7071067811865475,0.0,9,False,26399;27133,True
14637,3095,3273,39.59797974644667,39.59797974644666,1.0000000000000002,0.7071067811865476,-0.7071067811865476,0.0,8,False,26400,True
14638,3096,6254,5.656854249492381,5.656854249492381,1.0,-0.7071067811865475,0.0,0.7071067811865475,2,False,25476,False
14639,3096,6276,11.313708498984761,11.313708498984761,1.0,0.0,-0.7071067811865475,0.7071067811865475,3,False,25542,False
14640,3096,3102,45.254833995939045,45.254833995939045,1.0,0.0,0.7071067811865475,-0.7071067811865475,9,False,25959;25961;25968,True
14641,3096,3282,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,0.0,-0.7071067811865475,9,False,25960;27118,True
14642,3096,3283,46.52618297672217,45.43126676640219,1.024100499243171,0.7043607250604991,-0.08804509063256238,0.7043607250604991,9,False,26410;26411;27119,True
14643,3096,3292,46.52618297672217,45.43126676640219,1.024100499243171,0.7043607250604991,0.7043607250604991,-0.08804509063256238,9,False,26411;27134,True
14644,3097,3274,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,-0.7071067811865475,0.0,9,False,26401;27095,True
14645,3097,3246,39.59797974644667,39.59797974644666,1.0000000000000002,0.7071067811865476,0.0,0.7071067811865476,8,False,25956;27028,True
14646,3097,3293,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,0.7071067811865475,0.0,9,False,26402;27135,True
14647,3097,3283,46.52618297672217,45.43126676640219,1.024100499243171,0.7043607250604991,-0.08804509063256238,-0.7043607250604991,9,False,26403;27662,True
14648,3098,3218,45.254833995939045,45.254833995939045,1.0,0.0,-0.7071067811865475,0.7071067811865475,9,False,25934;26396,True
14649,3098,3278,47.7975319575053,45.254833995939045,1.0561862178478971,0.7071067811865475,-0.7071067811865475,0.0,9,False,26396;27096,True
14650,3098,3279,47.7975319575053,45.254833995939045,1.0561862178478971,0.7071067811865475,0.0,-0.7071067811865475,9,False,26404;26405;27121,True
14651,3098,3284,48.68337566957918,43.266615305567875,1.1251949182009213,0.647150228929434,-0.1849000654084097,0.7396002616336388,9,False,26891;26892;27114,True
14652,3098,3295,47.7975319575053,45.254833995939045,1.0561862178478971,0.7071067811865475,0.7071067811865475,0.0,9,False,26892;27691,True
14653,3099,6348,5.656854249492381,5.656854249492381,1.0,0.0,0.7071067811865475,-0.7071067811865475,2,False,26430,False
14654,3099,3284,45.254833995939045,42.708313008125245,1.059625885652035,0.6556100681071858,-0.7492686492653552,-0.0936585811581694,9,False,26893;26894,True
14655,3099,3287,47.7975319575053,42.708313008125245,1.1191622565005515,0.6556100681071858,-0.0936585811581694,0.7492686492653552,9,False,26894;27123,True
14656,3099,3295,42.14067770801292,39.59797974644666,1.064212820397597,0.7071067811865476,0.0,-0.7071067811865476,8,False,26432;27149,True
14657,3099,3297,39.59797974644667,39.59797974644666,1.0000000000000002,0.7071067811865476,0.7071067811865476,0.0,8,False,26433;27156,True
14658,3100,6238,11.313708498984761,11.313708498984761,1.0,-0.7071067811865475,0.0,-0.7071067811865475,3,False,25465;25563,False
14659,3100,6255,5.656854249492381,5.656854249492381,1.0,-0.7071067811865475,0.0,0.7071067811865475,2,False,25477;25564,False
14660,3100,3111,45.254833995939045,45.254833995939045,1.0,0.0,0.7071067811865475,-0.7071067811865475,9,False,25563;25990,True
14661,3100,3112,45.254833995939045,45.254833995939045,1.0,0.0,0.7071067811865475,0.7071067811865475,9,False,25564,True
14662,3100,3281,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,-0.7071067811865475,0.0,9,False,25963,True
14663,3100,3289,43.59797974644667,42.5205832509386,1.025338234171195,0.7525766947068778,0.0,-0.658504607868518,9,False,25964;27138,True
14664,3100,3290,45.254833995939045,45.254833995939045,1.0,0.7071067811865475,0.0,0.7071067811865475,9,False,25965;27139,True
